ET|TO
M06-24-003-0013-H-PPA-KA-001|an mimláb pél i dhitom
M06-24-003-0013-H-PPA-KA-002|an mimlábchik pélchik i nujul
M06-24-003-0013-H-PPA-KA-003|an yejtse inikchik pél i t'ojnal
M06-24-003-0013-H-PPA-KA-004|nixé' xi inik pél i t'ojodh
M06-24-003-0013-H-PPA-KA-005|an tsakam ne'ets kin t'aja' ti witadh ilálix
M06-24-003-0013-H-PPA-KA-006|nixé' xi ts'ik'ách ne'ets kin t'aja' ti exóbchix
M06-24-003-0013-H-PPA-KA-007|axé' an kwitólchik ne'ets kin t'aja' ti labidh ilálix
M06-24-003-0013-H-PPA-KA-008|nixé' xi ts'ik'áchik ne'ets kin t'aja' ti exóbchixchik
M06-24-003-0013-H-PPA-KA-009|nixé' xi ts'ik'ách in t'aja' ti exóbchix
M06-24-003-0013-H-PPA-KA-010|nixé' xi yejtse inik in t'aja' ti belom ko'nél
M06-24-003-0013-H-PPA-KA-011|an nixé' xi kwitól in t'aja' ti t'énel
M06-24-003-0013-H-PPA-KA-012|an ts'ik'áchik in t'aja' t'ochichíl al an altá
M06-24-003-0013-H-PPA-KA-013|an pik'o' k'wajat tin tamet an wi'leb
M06-24-003-0013-H-PPA-KA-014|nixé' an pik'o' k'wajay tin elébil an atá
M06-24-003-0013-H-PPA-KA-015|an pik'o' ne'ets ka k'wajay ti belom atá
M06-24-003-0013-H-PPA-KA-016|nixé' an tsakamchik ne'ets ka k'wajay altá al an atá exobintaláb
M06-24-003-0013-H-PPA-KA-017|nixé' tsakamchik k'wajay altá ban atá exobintaláb
M06-24-003-0013-H-PPA-KA-018|nixé' an tsakamchik ne'ets ka k'wajay altá ban atá exobintaláb
M06-24-003-0013-H-PPA-KA-019|an mitsu' k'wajat tu walk'i' ban te'
M06-24-003-0013-H-PPA-KA-020|an xalkuy ne'ets ka k'wajay ban méxa
M06-24-003-0013-H-PPA-KA-021|an way ne'ets ka k'wajay walte' ban koxtál
M06-24-003-0013-H-PPA-KA-022|an bichim k'wajay elébil an atá
M06-24-003-0013-H-PPA-KA-023|an ts'u k'wajay eléb an atá
M06-24-003-0013-H-PPA-KA-024|an pajláb ne'ets ka k'wajay altá an waytaláb
M06-24-003-0013-H-PPA-KA-025|wa'ats jún i koytaláb ba atá
M06-24-003-0013-H-PPA-KA-026|wa'ats yán i to'ol ban púlik itse'
M06-24-003-0013-H-PPA-KA-027|wa'ats in jún i ajib ban jún ti jolataláb
